6.75,0.15,0,4,0
9.25,0.15,3,3,4
6,0.35,2,3,2
9.25,0.35,0,4,2
0.75,0.55,2,2,2
2.5,0.75,0,1,0
9.75,0.95,0,4,5
11.5,0.35,4,2,0
4.5,0.55,6,2,2
6,0.55,4,5,3
0.25,0.35,0,1,0
11.75,0.55,0,0,1
3,0.15,5,2,1
2.25,0.55,1,1,1
9.5,0.55,7,3,4
12,0.95,6,8,2
8.25,0.95,1,0,3
6,0.15,5,2,2
2.25,0.95,0,2,0
11,0.35,3,2,6
12.25,0.35,3,3,5
11.75,0.35,5,3,0
5.5,0.75,8,5,1
6.75,0.55,0,1,3
3.25,0.15,3,1,2
3.75,0.75,3,2,3
6.75,0.55,6,5,0
5.75,0.75,3,0,0
9.5,0.55,7,2,1
1.25,0.95,1,1,1
12.25,0.15,0,4,3
3.5,0.35,0,1,2
2.25,0.35,4,2,3
4,0.15,0,3,0
8.75,0.75,0,0,3
5.25,0.95,0,3,0
8.25,0.95,0,6,3
3.25,0.95,5,1,3
2.75,0.95,1,1,3
1.75,0.75,1,1,0
2.5,0.15,0,2,1
12,0.95,0,0,5
4.5,0.75,6,1,0
0.5,0.95,1,0,0
11,0.55,1,0,0
4.75,0.15,0,0,1
0.25,0.95,0,0,1
11.5,0.75,5,4,6
0.25,0.15,2,1,2
8,0.35,0,2,2
9.25,0.75,0,3,0
3.75,0.75,3,4,2
9.25,0.55,7,2,1
1.5,0.35,3,2,1
12,0.55,6,3,4
10,0.55,5,0,0
8.75,0.35,9,3,1
3.5,0.35,0,2,0
10,0.55,0,1,0
10,0.95,8,4,2
8.25,0.35,7,0,3
3,0.95,2,3,2
9.75,0.75,5,1,5
5.5,0.35,0,0,2
5.75,0.15,3,0,0
5.75,0.35,0,3,3
11,0.15,0,0,6
11,0.95,0,6,0
10.5,0.35,3,4,5
5,0.15,3,2,4
4.75,0.15,0,4,0
9.25,0.75,8,0,0
0.5,0.35,0,1,0
11.75,0.55,2,4,0
3.5,0.15,2,4,2
8.5,0.95,0,1,5
9,0.55,7,1,6
3.5,0.75,0,0,2
6.75,0.35,2,3,2
1.25,0.15,0,0,1
10,0.35,8,2,4
11.25,0.75,5,0,0
6.25,0.55,5,3,4
2.5,0.75,0,2,0
5.75,0.55,2,0,0
2.5,0.15,3,2,1
11.5,0.15,7,0,0
12.5,0.75,4,2,1
9.75,0.55,1,3,3
5.75,0.95,0,2,0
9.5,0.35,9,1,5
9.5,0.95,9,2,2
11,0.15,6,0,3
4.25,0.55,0,0,3
12.25,0.75,0,8,6
2.25,0.75,0,2,0
6,0.15,2,3,3
12.5,0.95,1,8,0
2.5,0.55,1,1,3
0.25,0.75,2,2,2
5,0.55,0,4,3
2,0.95,0,0,1
10.5,0.15,8,0,0
5.5,0.35,0,2,1
10,0.75,6,2,0
3.5,0.15,3,3,1
5,0.55,5,3,1
4.5,0.95,1,4,1
11.5,0.75,1,5,4
10.5,0.55,0,7,2
4.5,0.35,6,3,3
1.75,0.15,0,2,0
2.25,0.75,0,1,0
3,0.15,3,2,0
5,0.55,7,1,3
4.5,0.95,2,3,3
2.75,0.15,0,1,2
0.25,0.75,0,1,1
4.5,0.75,0,0,3
4.75,0.95,6,2,2
8,0.55,8,4,3
6.75,0.15,2,5,5
5.25,0.15,2,5,1
9.75,0.75,2,5,3
1.75,0.55,3,2,1
4.25,0.95,0,1,0
1.75,0.35,3,0,1
0.25,0.15,0,1,1
8.75,0.55,3,3,6
4.25,0.55,0,1,1
2.25,0.75,1,3,2
9,0.95,3,3,0
2,0.95,0,1,0
8,0.75,0,6,0
11.25,0.95,0,0,2
8.25,0.55,1,3,0
5.75,0.55,7,3,3
8.25,0.35,2,6,4
9,0.55,0,6,1
12.25,0.55,3,8,7
7,0.55,0,0,2
5,0.15,2,4,2
4,0.75,5,0,1
10.75,0.55,0,3,1
11.25,0.95,7,3,5
12,0.95,5,0,0
5.25,0.35,0,2,2
6.5,0.15,1,0,0
11.75,0.95,8,0,0
9.25,0.95,8,3,3
6.25,0.75,0,0,2
9.75,0.95,3,0,0
7.25,0.35,1,0,1
8.5,0.35,3,3,2
9,0.75,2,4,6
11.5,0.75,4,1,7
8,0.95,0,3,3
1.75,0.95,0,2,0
11.75,0.95,2,1,5
3.5,0.95,0,2,1
2.25,0.55,0,1,0
11,0.55,1,0,6
10.5,0.55,5,0,3
6.25,0.15,4,3,0
11,0.95,4,8,1
6,0.75,5,0,2
9,0.75,0,0,4
12.5,0.75,8,1,6
6,0.95,1,2,2
10.75,0.95,8,5,3
8.25,0.35,6,0,0
1.75,0.75,3,0,1
10.5,0.15,0,7,6
9,0.35,0,0,3
10.5,0.35,2,0,0
1.75,0.75,1,1,1
3.25,0.95,2,0,0
12.25,0.75,7,2,0
4.75,0.35,0,0,1
8.75,0.15,4,4,0
2.75,0.75,0,0,2
4.5,0.35,0,0,2
8,0.55,7,3,0
6,0.15,6,4,2
8.25,0.75,4,3,4
1.75,0.15,4,2,2
3.25,0.95,3,0,2
11.25,0.55,5,0,0
2,0.55,1,2,2
6.75,0.35,2,0,0
8.5,0.95,1,0,0
1.25,0.35,2,0,1
6.5,0.15,9,1,3
7.5,0.35,0,2,0
5.25,0.15,6,3,3
9.5,0.55,0,2,0
7.25,0.15,4,4,3
7,0.55,3,4,0
9,0.35,1,0,1
12,0.95,7,0,5
3.25,0.15,1,0,0
9.25,0.55,4,4,5
1.25,0.95,0,0,1
8.25,0.75,8,3,5
2,0.35,2,0,0
8.75,0.75,0,2,5
11.75,0.35,0,0,3
11,0.15,0,1,5
11,0.95,9,8,2
11.75,0.55,2,2,1
10.25,0.55,5,5,5
1,0.35,2,1,2
8,0.15,0,0,2
3.25,0.75,1,3,1
11.75,0.55,9,2,5
4,0.95,2,1,1
10.5,0.75,5,0,0
9,0.55,5,7,1
4.5,0.35,6,1,1
5.5,0.75,2,0,0
0.5,0.55,0,0,1
2.5,0.55,1,2,1
8.5,0.55,1,0,4
12.5,0.95,0,6,2
7.25,0.75,3,2,4
11.75,0.15,0,3,0
2.25,0.35,2,2,3
8.25,0.35,8,7,4
4,0.95,3,2,1
6.5,0.95,7,1,4
11.5,0.55,1,5,7
4,0.95,0,2,0
2.25,0.75,0,0,1
12.5,0.35,0,3,3
3.25,0.15,3,0,1
5.25,0.55,6,0,0
9.25,0.35,6,7,5
8.25,0.55,6,5,4
9.25,0.35,8,5,1
4.75,0.55,1,0,0
4.25,0.35,2,4,4
2.5,0.95,0,1,2
6.5,0.55,0,0,1
0.5,0.15,0,1,1
1,0.15,3,1,2
12.25,0.35,0,1,0
3.75,0.35,6,2,1
6.5,0.95,0,3,0
11.5,0.75,5,8,2
0.25,0.55,0,1,1
9.75,0.15,8,0,4
9.25,0.75,7,3,0
3.75,0.95,0,3,0
4.75,0.95,5,3,4
7,0.55,3,6,1
1.5,0.75,2,1,1
5.5,0.75,2,3,3
8.5,0.55,0,5,4
8.5,0.75,0,3,4
4.75,0.95,0,0,3
10,0.55,7,0,0
12.25,0.75,2,1,0
4.75,0.55,7,3,3
11.5,0.35,5,5,2
5,0.95,3,0,0
6.25,0.35,8,0,3
8.5,0.15,2,3,1
11,0.75,6,5,3
3.25,0.15,3,0,0
3.5,0.55,2,3,3
7.75,0.55,1,4,3
2.5,0.75,1,3,3
3,0.35,5,3,3
11,0.55,7,8,2
2,0.95,2,2,0
7,0.55,6,4,1
10,0.95,2,4,0
5.25,0.35,2,0,0
11,0.15,1,4,0
11,0.75,0,2,0
5.5,0.75,4,3,2
4.5,0.55,2,4,2
3.25,0.35,4,3,0
9.75,0.55,3,4,4
1,0.75,2,1,1
3.5,0.95,5,0,2
8.5,0.95,6,2,6
9,0.15,0,0,2
11,0.75,6,4,3
10.75,0.35,0,0,6
4.75,0.35,5,0,1
4.25,0.15,0,3,0
6.25,0.55,8,0,1
4.75,0.15,3,1,3
9.5,0.35,5,0,4
1.5,0.15,1,2,1
6.75,0.95,0,5,4
11.25,0.35,2,1,0
10.5,0.75,2,8,4
12.25,0.95,3,6,4
3.75,0.15,5,4,3
10.75,0.15,0,2,0
10.75,0.35,2,0,0
5,0.55,1,4,0
6.25,0.55,6,2,5
0.5,0.95,2,1,2
2.75,0.55,5,1,3
11,0.35,5,6,7
9,0.15,4,5,6
8,0.95,5,1,0
12.25,0.35,0,3,0
2.75,0.75,5,2,1
6.5,0.15,4,0,3
1.25,0.15,2,2,2
7.25,0.95,0,0,4
2,0.35,2,1,2
8.5,0.95,7,2,5
2.25,0.35,0,1,1
4,0.15,0,2,0
7.75,0.15,0,4,0
12,0.15,4,0,0
2,0.15,4,3,2
10,0.55,1,3,5
2.25,0.15,3,0,0
7,0.35,0,1,0
9.25,0.15,9,1,2
4,0.75,1,4,3
10.25,0.95,9,5,4
9.75,0.35,8,0,4
2.5,0.95,0,0,2
9.25,0.35,1,1,0
0.5,0.95,2,2,1
4.75,0.95,0,1,1
11,0.95,8,3,0
6.5,0.75,1,3,0
3,0.35,3,1,2
3,0.75,1,3,3
4.5,0.15,6,2,1
1,0.15,3,1,2
1.75,0.95,2,2,2
2.25,0.55,0,1,2
3.75,0.15,0,0,2
10.25,0.55,0,3,5
0.5,0.75,1,2,1
1,0.95,2,1,2
8.5,0.35,0,5,1
7.75,0.15,4,2,1
11.75,0.95,1,8,0
1,0.15,1,1,0
10.5,0.75,9,1,3
1,0.15,3,1,2
10.25,0.35,0,6,0
2.75,0.55,1,0,0
5.75,0.35,0,0,2
7.25,0.35,0,2,0
4,0.95,4,3,2
8.25,0.75,1,5,1
8,0.55,9,1,1
6.5,0.95,5,6,4
7.75,0.15,8,4,3
6.25,0.35,4,2,3
7.75,0.75,0,1,1
4.5,0.35,4,0,0
5.25,0.95,6,5,3
12,0.15,0,2,1
9.25,0.75,3,0,3
6.25,0.55,3,0,3
5.5,0.95,6,2,4
10,0.55,2,5,0
1.75,0.75,3,0,1
0.25,0.55,0,0,1
4.5,0.55,0,2,0
8.5,0.35,7,0,0
12,0.95,0,0,4
0.25,0.75,1,0,1
4.5,0.55,6,1,3
11.5,0.55,1,2,7
3.25,0.75,0,2,1
6,0.35,3,1,3
6.25,0.75,9,3,2
2.5,0.75,0,0,1
9,0.95,0,0,1
5.5,0.75,0,0,3
11.25,0.95,0,8,0
7,0.95,1,2,5
6.75,0.15,2,3,0
5.5,0.75,1,3,2
6.75,0.35,6,5,3
1.75,0.75,0,0,1
11.5,0.15,8,8,4
12.5,0.55,6,0,2
1.5,0.55,0,1,1
6.25,0.15,4,3,3
10,0.95,3,4,1
1.75,0.95,1,1,2
6.5,0.75,7,3,4
7,0.35,7,5,0
12,0.15,7,6,4
10,0.75,3,0,2
0.5,0.55,2,1,1
12.5,0.35,2,0,4
7.5,0.75,0,1,2
7.25,0.75,1,5,2
8.75,0.15,3,0,2
8.5,0.35,0,4,3
10.75,0.95,8,4,0
7.5,0.95,3,3,0
5.5,0.15,0,3,0
10.75,0.95,5,8,3
8.75,0.75,7,2,2
2.25,0.95,3,0,0
6.25,0.35,0,3,3
6,0.55,3,4,4
10.25,0.75,7,1,0
7.25,0.55,4,1,5
0.75,0.35,1,1,0
8.75,0.15,1,1,1
8.5,0.15,5,0,5
10.25,0.55,3,0,3
8.5,0.35,0,0,4
7.75,0.75,3,3,0
7,0.15,3,6,3
6,0.55,2,0,0
9.5,0.35,3,7,3
5.25,0.55,8,5,1
10.25,0.95,0,0,5
3.25,0.55,4,1,1
5,0.15,5,1,4
4.75,0.75,0,1,3
12.25,0.35,7,0,0
5.75,0.15,5,0,0
7,0.35,8,6,3
9.5,0.95,0,5,0
9.75,0.75,6,2,5
6.25,0.95,8,5,4
6.25,0.75,9,3,5
9.25,0.35,5,2,3
5.5,0.15,3,0,0
12.5,0.95,8,6,0
0.75,0.15,1,0,0
6.75,0.95,4,6,5
3.75,0.35,1,2,1
1.5,0.55,2,2,2
12,0.35,2,0,0
0.25,0.75,1,1,0
4,0.35,2,4,1
6.75,0.55,0,0,1
3,0.75,0,0,2
12,0.95,3,4,0
6,0.35,9,1,4
6.75,0.35,5,0,1
11.25,0.35,0,7,0
5.25,0.75,7,1,4
9.25,0.75,0,4,4
5.5,0.15,1,4,2
12,0.55,0,0,3
7.25,0.95,0,0,1
12.5,0.15,0,0,5
11.75,0.35,7,7,5
8.5,0.15,0,0,4
3,0.75,1,3,2
4,0.95,3,2,0
0.75,0.35,1,1,0
7.75,0.95,2,0,0
0.75,0.15,2,1,2
5.25,0.75,1,0,0
0.25,0.35,1,0,0
0.25,0.35,1,2,2
1.25,0.95,2,2,2
4.5,0.55,1,4,2
9,0.95,8,6,4
3.75,0.15,6,1,3
7,0.95,9,2,5
11.75,0.55,6,4,3
5.75,0.95,2,3,2
4.25,0.55,1,0,0
7.75,0.55,4,6,3
1,0.95,2,1,0
10.75,0.35,1,4,0
11.25,0.75,0,0,3
10.75,0.55,0,7,0
10.25,0.75,5,4,5
1,0.75,1,1,0
5,0.35,0,4,0
1,0.55,0,1,1
3,0.35,0,0,2
1,0.95,2,1,2
7.75,0.15,0,0,4
9,0.95,0,6,4
7,0.75,6,3,0
3.25,0.15,1,3,0
11.5,0.95,2,0,2
4.75,0.55,5,0,0
1.75,0.35,0,0,1
4.75,0.75,4,3,1
12.25,0.95,0,6,0
2,0.75,3,0,1
2.5,0.15,4,1,0
8,0.35,7,5,0
11.25,0.35,6,3,1
10.5,0.75,8,0,5
10,0.35,1,8,5
8.75,0.15,8,0,0
4.75,0.75,0,3,0
5.75,0.35,0,0,1
4.75,0.75,5,1,0
10.75,0.35,0,6,3
4.75,0.35,7,2,4
3.5,0.95,0,3,0
7,0.95,0,1,4
10.75,0.75,6,6,3
8.25,0.15,8,6,1
1.25,0.15,3,2,1
10.5,0.55,2,7,2
3.25,0.75,3,4,3
9.75,0.55,3,0,0
5.75,0.95,1,2,1
3.75,0.55,0,1,0
11.75,0.95,3,2,5
0.5,0.95,1,1,2
0.25,0.55,2,2,1
2.75,0.55,1,2,1
7,0.95,6,2,3
10,0.35,0,0,5
12.5,0.55,5,0,0
2,0.75,1,2,0
3.5,0.95,5,0,0
12,0.35,0,4,0
1.75,0.55,0,1,0
11.75,0.15,8,2,0
7.75,0.75,0,0,1
5.5,0.95,3,0,2
8.25,0.75,4,0,0
8.5,0.95,0,5,3
6.5,0.55,8,3,4
3,0.95,2,0,1
6.5,0.55,3,3,0
7,0.15,3,3,4
4.5,0.75,1,4,3
9.25,0.95,0,5,4
8.25,0.95,1,0,0
11.25,0.55,9,8,2
1.25,0.55,0,1,0
8.5,0.35,5,0,1
7.5,0.35,1,1,3
4,0.35,3,1,0
6.25,0.55,0,0,4
4.75,0.95,2,2,3
6.75,0.75,6,2,1
11.5,0.35,8,1,1
7.75,0.95,0,0,4
1.75,0.55,1,0,1
11,0.75,0,6,2
10.5,0.95,8,5,1
1.5,0.95,2,1,1
8,0.95,0,1,0
3.5,0.75,5,1,3
7.75,0.55,8,6,4
4,0.55,1,1,0
4.25,0.95,3,1,4
11.25,0.95,0,8,1
5.5,0.35,7,1,2
4.5,0.15,7,3,4
12.25,0.15,0,4,0
0.75,0.55,0,0,1
5,0.15,2,0,0
7,0.95,6,0,4
10,0.95,0,0,3
6,0.75,8,0,1
7.5,0.75,3,3,3
2.5,0.75,1,2,2
3.25,0.35,4,1,2
9.75,0.35,7,7,0
2.75,0.55,2,0,2
3.25,0.75,0,0,1
4.5,0.15,1,0,3
2.75,0.55,0,2,0
6,0.95,6,0,3
2.75,0.75,3,3,3
9.5,0.35,8,2,2
10.5,0.75,8,1,7
10.5,0.35,1,0,1
8.5,0.75,2,1,6
6.25,0.75,0,4,0
6.5,0.35,0,0,3
8.75,0.95,6,4,0
4,0.55,0,0,1
1,0.75,0,0,1
5.25,0.35,0,1,0
1.5,0.75,0,1,0
4.5,0.95,0,0,3
8.75,0.55,4,5,1
4,0.55,6,3,2
9.5,0.75,2,0,0
1.5,0.75,0,1,1
11,0.75,2,6,2
0.75,0.75,1,2,1
5.25,0.75,0,2,3
3.5,0.15,4,2,0
1.25,0.75,2,0,1
7,0.55,0,2,0
8.25,0.95,5,0,0
0.75,0.15,1,0,1
2.5,0.35,0,1,2
1.5,0.15,1,1,2
6.75,0.95,6,3,5
5.25,0.95,8,4,4
0.5,0.55,0,1,0
1.5,0.55,2,2,1
9,0.75,5,2,3
3.5,0.75,2,3,0
8.5,0.55,8,7,6
3.5,0.35,5,2,2
4.25,0.55,2,0,0
5,0.75,3,3,1
4.25,0.95,2,3,0
5.75,0.35,1,3,0
0.25,0.35,1,0,1
8,0.75,0,5,0
10,0.55,0,0,4
2.25,0.15,3,2,2
11.25,0.75,0,0,4
10.5,0.15,0,6,5
7,0.95,0,2,0
0.25,0.35,1,1,1
12.5,0.55,2,6,7
11.25,0.35,6,8,3
12.5,0.15,5,6,1
0.25,0.75,2,1,2
1.25,0.55,2,0,0
3.25,0.95,5,2,2
1,0.75,3,1,1
7.25,0.15,8,2,5
10,0.95,0,3,0
3.75,0.15,3,2,3
11,0.95,1,5,5
9.5,0.35,3,0,0
12.25,0.35,5,9,2
0.25,0.35,1,0,0
5,0.55,0,3,2
12.25,0.95,0,0,2
2.75,0.95,2,3,2
4.75,0.35,0,3,1
3.25,0.55,4,0,1
8.75,0.55,3,2,2
7.25,0.95,0,2,0
6.75,0.15,8,0,2
2.75,0.55,3,1,3
7,0.35,1,3,5
2,0.75,2,0,0
0.5,0.75,0,1,0
6,0.55,4,0,0
5.25,0.15,1,0,3
9.75,0.75,1,6,4
7.25,0.15,0,4,0
11.5,0.75,4,5,3
3.75,0.95,0,0,1
8.5,0.35,1,0,2
11.75,0.55,6,0,1
11.75,0.35,2,0,5
1.75,0.35,2,3,2
11.5,0.15,7,9,7
12.5,0.95,0,0,2
6.5,0.15,8,5,2
5.75,0.15,6,3,4
7.25,0.15,4,3,5
0.25,0.75,1,0,0
6,0.15,6,2,0
9.5,0.75,0,4,0
3.5,0.55,2,2,0
2.5,0.15,3,0,0
9.5,0.15,0,5,0
5.25,0.15,2,1,3
6.75,0.15,8,0,0
3.5,0.15,0,0,2
2.75,0.95,4,2,1
9.5,0.35,0,3,2
4.75,0.15,4,4,0
3.5,0.55,0,3,1
12.25,0.15,8,6,7
0.25,0.55,0,1,1
2.25,0.35,1,3,3
11.5,0.95,8,2,1
2.25,0.35,1,1,3
9.75,0.15,0,0,4
8,0.75,6,0,2
5,0.55,5,3,2
9.5,0.15,1,0,1
8.25,0.55,0,2,2
4.75,0.75,0,3,3
11.5,0.35,1,0,2
1.5,0.95,2,0,0
1.5,0.15,2,0,0
8,0.55,3,0,0
9.5,0.15,3,4,5
1,0.75,3,2,2
4.75,0.35,6,1,1
1.75,0.55,0,2,1
5.75,0.75,4,4,2
3,0.15,4,0,1
9,0.75,6,0,3
8,0.35,0,0,2
9.5,0.75,5,4,0
2.25,0.35,0,2,1
8.25,0.35,0,6,1
4.5,0.15,1,0,0
1.5,0.55,1,0,0
11.5,0.55,3,6,0
11.5,0.55,0,1,2
4.5,0.75,7,1,4
9.25,0.15,0,5,1
8.75,0.55,5,5,1
2.5,0.75,2,2,0
1.75,0.75,0,1,0
5.75,0.15,3,3,3
7.25,0.55,0,3,2
12,0.95,2,2,0
2.75,0.75,3,2,3
6.75,0.55,3,4,3
9.25,0.55,1,6,1
1,0.35,0,1,0
5.5,0.75,0,0,2
10.75,0.75,0,2,4
0.25,0.55,1,1,0
9,0.95,4,2,3
9.25,0.95,0,0,3
4.25,0.75,6,3,2
12.5,0.15,5,4,0
7.5,0.95,0,0,4
1,0.15,2,0,1
8.5,0.35,3,3,0
2.75,0.75,1,3,1
10.25,0.15,4,0,2
6,0.35,0,4,2
1.5,0.75,1,0,0
9,0.35,2,0,0
10,0.75,5,2,6
12.25,0.75,8,0,0
6,0.15,7,4,1
8,0.75,2,2,3
6,0.75,0,2,0
10.25,0.75,9,2,1
1.75,0.15,3,3,1
4,0.55,0,0,2
6.25,0.95,1,0,3
9.75,0.55,8,6,0
3.25,0.55,0,0,1
10,0.15,4,1,3
8.75,0.95,0,0,2
4.5,0.15,0,0,2
11.5,0.35,0,6,0
10.75,0.55,4,0,0
7.25,0.75,7,4,1
5.5,0.95,2,4,0
4,0.55,4,0,1
3.5,0.35,3,2,2
8.75,0.35,0,4,0
7.5,0.35,1,2,1
1,0.75,0,1,1
8.25,0.75,0,2,4
10.75,0.75,1,0,0
3.75,0.75,0,0,2
5.75,0.35,7,1,3
6.75,0.75,2,4,3
2.75,0.55,2,0,1
11.75,0.35,0,6,0
5.25,0.55,0,2,0
1,0.15,0,0,1
11.75,0.75,5,0,0
12.5,0.15,2,0,5
3.5,0.35,5,4,2
9.75,0.55,3,2,6
12,0.35,1,9,5
0.25,0.15,1,0,0
5,0.75,2,0,0
11.25,0.95,9,1,3
6.25,0.95,7,4,1
4.25,0.75,3,4,1
11.25,0.35,1,2,7
8.25,0.15,0,0,1
11.25,0.35,9,8,2
3.75,0.75,6,3,1
6.5,0.35,0,2,0
11.5,0.35,3,5,7
3.25,0.75,4,0,2
8.25,0.95,6,6,0
3.25,0.15,0,1,2
0.75,0.75,0,0,1
9,0.35,4,0,3
4,0.75,3,3,1
6.25,0.35,4,0,4
7.5,0.35,0,4,4
8.5,0.75,8,0,0
1.5,0.35,1,1,1
5.25,0.95,4,4,0
3.25,0.15,1,4,3
7.75,0.55,0,2,0
10.5,0.95,2,6,0
8.75,0.95,1,2,2
